Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
72,Jaylen Brown\brownja02,SF,23,BOS,39,1305,17.7,.600,.363,.304,3.6,17.4,10.5,11.1,1.7,0.8,12.5,24.3,,1.9,1.9,3.8,.141,,1.4,-0.1,1.3,1.1
73,Moses Brown\brownmo01,C,20,POR,7,23,8.9,.465,.000,.444,13.6,35.2,24.5,0.0,2.1,0.0,21.8,25.3,,-0.1,0.0,0.0,-0.055,,-11.8,-7.2,-19.1,-0.1
74,Sterling Brown\brownst02,SF,24,MIL,33,497,9.8,.491,.513,.190,4.7,20.2,12.9,8.1,1.7,0.7,14.5,16.7,,-0.2,1.0,0.8,.075,,-3.5,0.8,-2.7,-0.1
75,Troy Brown\browntr01,SG,20,WAS,44,1154,14.4,.547,.271,.232,4.7,20.5,12.3,11.3,2.3,0.3,10.1,17.1,,1.2,0.5,1.7,.071,,-0.5,-0.6,-1.1,0.3
76,Jalen Brunson\brunsja01,PG,23,DAL,48,813,15.4,.547,.317,.190,2.6,11.8,7.3,26.9,1.3,0.4,13.3,20.1,,1.4,0.5,1.9,.112,,0.2,-1.8,-1.6,0.1
77,Thomas Bryant\bryanth01,C,22,WAS,27,684,19.3,.636,.177,.263,8.3,23.9,15.8,13.2,0.7,2.9,13.1,18.9,,1.6,0.2,1.8,.127,,1.2,-0.4,0.8,0.5
78,Reggie Bullock\bullore01,SG,28,NYK,15,376,10.8,.511,.504,.065,2.1,6.7,4.3,7.7,2.3,0.0,4.7,16.9,,0.2,0.2,0.4,.050,,-0.4,-1.9,-2.3,0.0
79,Trey Burke\burketr01,PG,27,PHI,23,312,16.4,.562,.298,.149,5.0,7.0,6.0,24.3,1.1,0.3,8.5,19.5,,0.7,0.3,1.0,.151,,1.0,-2.4,-1.4,0.0
80,Alec Burks\burksal01,SG,28,GSW,46,1337,15.9,.545,.364,.369,2.8,15.2,8.8,17.8,1.7,1.0,9.7,23.5,,1.6,0.9,2.4,.087,,0.3,-1.3,-0.9,0.4
81,Deonte Burton\burtode02,SG,26,OKC,30,254,5.8,.412,.419,.129,2.3,14.3,8.5,5.7,0.8,3.0,8.4,18.6,,-0.5,0.3,-0.2,-0.038,,-6.2,-0.9,-7.1,-0.3
82,Jimmy Butler\butleji01,SF,30,MIA,41,1427,23.7,.581,.195,.713,6.6,15.1,11.1,28.7,2.5,1.6,11.7,25.0,,4.8,2.0,6.8,.229,,3.5,1.8,5.4,2.6
83,Bruno Caboclo\cabocbr01,SF,24,MEM,22,192,11.9,.441,.362,.043,9.6,14.8,12.2,7.0,2.4,5.4,9.1,16.8,,-0.1,0.2,0.2,.042,,-3.1,1.9,-1.2,0.0
84,Kentavious Caldwell-Pope\caldwke01,SG,26,LAL,47,1204,12.0,.599,.464,.213,2.8,6.6,4.7,9.3,1.4,0.7,9.7,14.8,,1.8,1.2,3.0,.118,,0.6,-0.7,0.0,0.6
85,Vlatko Čančar\cancavl01,SF,22,DEN,9,16,20.0,.595,.600,.400,6.8,13.8,10.3,25.7,3.1,0.0,14.5,18.5,,0.0,0.0,0.1,.206,,2.8,-0.5,2.3,0.0
86,Clint Capela\capelca01,C,25,HOU,39,1279,20.8,.626,.000,.268,13.6,30.0,21.8,5.6,1.2,4.8,12.7,15.9,,2.9,2.0,5.0,.187,,-0.8,2.4,1.6,1.1
87,DeMarre Carroll\carrode01,SF,33,SAS,15,135,5.1,.437,.448,.690,5.6,18.7,12.2,10.1,0.7,1.3,20.9,15.3,,-0.2,0.1,-0.1,-0.032,,-5.0,-1.1,-6.1,-0.1
88,Jevon Carter\carteje01,PG,24,PHO,33,442,9.4,.509,.549,.097,3.2,11.2,7.1,14.1,2.6,1.9,16.9,13.6,,0.0,0.5,0.5,.052,,-2.4,1.2,-1.2,0.1
89,Vince Carter\cartevi01,SF,43,ATL,42,639,7.5,.464,.682,.112,1.5,13.4,7.4,8.8,1.2,2.5,9.7,16.8,,-0.5,0.3,-0.1,-0.011,,-3.5,-1.3,-4.9,-0.5
90,Wendell Carter\cartewe01,C,20,CHI,37,1109,16.2,.592,.091,.417,12.3,24.2,18.0,6.0,1.3,2.8,14.5,16.5,,1.7,1.6,3.3,.142,,-1.6,1.5,-0.1,0.5
91,Michael Carter-Williams\cartemi01,SG,28,ORL,25,417,14.7,.493,.262,.312,5.6,14.2,9.7,20.1,2.8,2.2,12.5,19.0,,0.2,0.7,0.8,.096,,-1.7,2.0,0.3,0.2
92,Alex Caruso\carusal01,PG,25,LAL,44,821,10.0,.524,.412,.302,1.4,9.6,5.6,12.0,2.7,1.4,14.4,13.6,,0.3,1.2,1.5,.086,,-2.0,1.3,-0.7,0.3
93,Willie Cauley-Stein\caulewi01,C,26,DAL,2,24,16.8,.500,.000,.000,13.3,25.7,19.6,17.0,4.1,3.5,14.3,12.4,,0.0,0.1,0.1,.186,,-0.6,5.4,4.8,0.0
94,Willie Cauley-Stein\caulewi01,C,26,GSW,41,940,16.3,.573,.000,.222,7.8,21.7,14.5,10.1,2.3,4.8,11.0,14.4,,1.1,1.2,2.3,.117,,-2.2,3.3,1.1,0.7
95,Willie Cauley-Stein\caulewi01,C,26,TOT,43,964,16.4,.571,.000,.217,7.9,21.8,14.6,10.2,2.3,4.8,11.1,14.3,,1.1,1.3,2.4,.119,,-2.2,3.3,1.2,0.8
96,Tyson Chandler\chandty01,C,37,HOU,25,219,10.8,.717,.000,.722,11.8,19.5,15.6,3.5,1.3,3.1,25.2,5.9,,0.3,0.3,0.6,.128,,-2.3,1.4,-0.8,0.1
97,Wilson Chandler\chandwi01,SF,32,BRK,19,389,9.4,.573,.583,.136,1.6,20.4,11.2,7.7,1.5,1.5,17.4,14.2,,0.0,0.5,0.5,.062,,-3.3,1.0,-2.3,0.0
98,Zylan Cheatham\cheatzy01,SF,24,NOP,3,31,0.2,.400,.200,.000,3.4,17.3,10.2,8.0,0.0,2.7,37.5,10.6,,-0.1,0.0,-0.1,-0.088,,-8.6,0.3,-8.3,0.0
99,Chris Chiozza\chiozch01,PG,24,BRK,2,12,-1.7,.000,.500,.000,0.0,16.8,8.6,20.3,3.9,0.0,0.0,13.9,,-0.1,0.0,0.0,-0.188,,-11.4,1.7,-9.7,0.0
100,Chris Chiozza\chiozch01,PG,24,TOT,12,135,8.3,.355,.474,.000,0.0,14.1,6.8,27.7,3.8,1.3,19.1,14.4,,-0.2,0.1,-0.1,-0.025,,-4.7,-0.2,-4.9,-0.1
