,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,EFG_PCT_RANK,FTA_RATE_RANK,TM_TOV_PCT_RANK,OREB_PCT_RANK,OPP_EFG_PCT_RANK,OPP_FTA_RATE_RANK,OPP_TOV_PCT_RANK,OPP_OREB_PCT_RANK,CFID,CFPARAMS,season
16,1610612749,Milwaukee Bucks,82,42,40,0.512,3956.0,0.527,0.274,0.146,0.26,0.518,0.279,0.154,0.294,1,13,13,13,18,7,16,19,22,20,18,4,28,10,Milwaukee Bucks,2016-17
17,1610612750,Minnesota Timberwolves,82,31,51,0.378,3961.0,0.511,0.287,0.146,0.309,0.535,0.275,0.148,0.29,1,24,24,24,13,16,9,18,4,29,15,12,25,10,Minnesota Timberwolves,2016-17
18,1610612740,New Orleans Pelicans,82,34,48,0.415,3981.0,0.504,0.256,0.129,0.228,0.509,0.232,0.14,0.272,1,21,21,21,2,20,24,4,29,12,5,18,11,10,New Orleans Pelicans,2016-17
19,1610612752,New York Knicks,82,31,51,0.378,3971.0,0.496,0.239,0.143,0.305,0.511,0.278,0.133,0.302,1,24,24,24,7,25,28,16,5,14,16,25,30,10,New York Knicks,2016-17
20,1610612760,Oklahoma City Thunder,82,47,35,0.573,3961.0,0.5,0.295,0.152,0.323,0.511,0.285,0.139,0.258,1,10,10,10,13,24,4,25,1,13,22,19,5,10,Oklahoma City Thunder,2016-17
21,1610612753,Orlando Magic,82,29,53,0.354,3961.0,0.489,0.246,0.137,0.267,0.523,0.263,0.134,0.274,1,26,26,26,13,29,27,8,20,22,12,23,12,10,Orlando Magic,2016-17
22,1610612755,Philadelphia 76ers,82,28,54,0.341,3966.0,0.501,0.258,0.167,0.273,0.512,0.303,0.151,0.291,1,27,27,27,10,21,23,30,16,16,27,9,26,10,Philadelphia 76ers,2016-17
23,1610612756,Phoenix Suns,82,24,58,0.293,3966.0,0.493,0.297,0.152,0.299,0.525,0.338,0.146,0.282,1,29,29,29,10,26,3,26,6,25,29,13,17,10,Phoenix Suns,2016-17
24,1610612757,Portland Trail Blazers,82,41,41,0.5,3986.0,0.52,0.275,0.139,0.269,0.508,0.307,0.13,0.28,1,15,15,15,1,11,14,10,19,11,28,28,15,10,Portland Trail Blazers,2016-17
25,1610612758,Sacramento Kings,82,32,50,0.39,3976.0,0.516,0.284,0.152,0.258,0.528,0.291,0.145,0.277,1,23,23,23,4,14,10,24,24,26,26,15,13,10,Sacramento Kings,2016-17
26,1610612759,San Antonio Spurs,82,61,21,0.744,3961.0,0.524,0.263,0.141,0.282,0.492,0.249,0.151,0.27,1,2,2,2,13,10,18,14,14,2,7,10,10,10,San Antonio Spurs,2016-17
27,1610612761,Toronto Raptors,82,51,31,0.622,3956.0,0.517,0.293,0.132,0.291,0.507,0.286,0.153,0.283,1,5,5,5,18,12,6,5,8,9,24,7,20,10,Toronto Raptors,2016-17
